"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C19","0402","-42.164mm","-2.032mm","-42.164mm","-2.032mm","-41.514mm","-2.032mm","T","180.00","1.0uF"
"C20","0402","-42.291mm","-6.858mm","-42.291mm","-6.858mm","-41.641mm","-6.858mm","T","180.00","1.0uF"
"C22","0402","-40.767mm","-18.669mm","-40.767mm","-18.669mm","-40.767mm","-19.319mm","T","90.00","1.0uF"
"C21","0402","-39.37mm","-18.669mm","-39.37mm","-18.669mm","-39.37mm","-19.319mm","T","90.00","1.0uF"
"C18","0402","-30.516mm","-11.124mm","-30.516mm","-11.124mm","-30.516mm","-11.774mm","T","90.00","0.01uF"
"C13","0402","-31.698mm","-25.745mm","-31.698mm","-25.745mm","-32.348mm","-25.745mm","T","360.00","0.01uF"
"C7","0402","-50.852mm","-16.8mm","-50.852mm","-16.8mm","-50.852mm","-16.15mm","T","270.00","0.01uF"
"C17","0402","-32.385mm","-17.653mm","-32.385mm","-17.653mm","-33.035mm","-17.653mm","T","360.00","1uF"
"C11","0402","-38.481mm","-24.13mm","-38.481mm","-24.13mm","-38.481mm","-23.48mm","T","270.00","1uF"
"C6","0402","-48.82mm","-9.18mm","-48.82mm","-9.18mm","-48.82mm","-9.83mm","T","90.00","1uF"
"C15","Tant0805","-32.548mm","-10.87mm","-32.548mm","-10.87mm","-31.8749mm","-10.87mm","T","180.00","10uF"
"C16","0402","-32.548mm","-12.267mm","-32.548mm","-12.267mm","-33.198mm","-12.267mm","T","360.00","0.1uF"
"C9","Tant0805","-30.734mm","-23.622mm","-30.734mm","-23.622mm","-30.734mm","-24.2951mm","T","90.00","10uF"
"C10","0402","-32.385mm","-23.749mm","-32.385mm","-23.749mm","-32.385mm","-23.099mm","T","270.00","0.1uF"
"C4","Tant0805","-48.82mm","-17.816mm","-48.82mm","-17.816mm","-49.4931mm","-17.816mm","T","360.00","10uF"
"C5","0402","-48.947mm","-16.165mm","-48.947mm","-16.165mm","-48.297mm","-16.165mm","T","180.00","0.1uF"
"C3","0402","-42.291mm","-8.001mm","-42.291mm","-8.001mm","-41.641mm","-8.001mm","T","180.00","0.1uF"
"C12","0402","-35.941mm","-14.986mm","-35.941mm","-14.986mm","-35.941mm","-14.336mm","T","270.00","0.1uF"
"C14","0402","-43.232mm","-17.308mm","-43.232mm","-17.308mm","-42.582mm","-17.308mm","T","180.00","0.1uF"
"C8","0402","-46.355mm","-13.843mm","-46.355mm","-13.843mm","-46.355mm","-13.193mm","T","270.00","0.1uF"
"C2","0402","-19.939mm","-72.898mm","-19.939mm","-72.898mm","-19.289mm","-72.898mm","T","180.00","0.1uF"
"C1","Tant0805","-19.939mm","-74.93mm","-19.939mm","-74.93mm","-20.6121mm","-74.93mm","T","0.00","10uF"
"P12","HDR1X3","-45.212mm","-26.924mm","-47.752mm","-26.924mm","-47.752mm","-26.924mm","T","360.00","HYDROPHONE"
"P11","HDR1X3","-25.019mm","-26.924mm","-27.559mm","-26.924mm","-27.559mm","-26.924mm","T","360.00","HYDROPHONE"
"P8","SOP4","-46.556mm","-56.388mm","-51.106mm","-54.138mm","-51.106mm","-54.138mm","T","360.00","pushbutton"
"P9","SOP4","-46.556mm","-78.867mm","-51.106mm","-76.617mm","-51.106mm","-76.617mm","T","360.00","pushbutton"
"P10","HDR1X4","-2.921mm","-66.294mm","-2.921mm","-62.484mm","-2.921mm","-62.484mm","T","270.00","Display"
"P6","HDR1X3","-21.515mm","-78.141mm","-18.975mm","-78.141mm","-18.975mm","-78.141mm","T","180.00","BIG CAP 1000 uF"
"P7","SOP4","-46.556mm","-67.6275mm","-51.106mm","-65.3775mm","-51.106mm","-65.3775mm","T","0.00","pushbutton"
